Question_No,Question,Option_A,Option_B,Option_C,Option_D,Answer
1,A 10MHz CRO has,5MHz sweep,10MHz vertical oscillator,10MHz horizontal oscillator,10MHz supply frequency,C
2,Which of the following instruments can be used to measure AC current only?,Permanent Magnet Type ammeter,Induction type ammeter,Moving iron voltmeter,Moving iron ammeter,B
3,An oscilloscope indicates,Peak to peak value of voltage,DC value of voltage,RMS value,Average value,A
4,In a ballistic galvanometer the deflecting torque is proportional to,the current through coil,square of current through coil,square-root of current through coil,sine of measured,A
5,The error of an instrument is normally given as a percentage of,measured value,full-scale value,mean value,rms value,B
6,If the instrument is to have a wide range the instrument should have,Linear scale,Square-law scale,Exponential scale,Logarithmic scale,D
7,The resistance can be measured most accurately by,Voltmeter-ammeter method,Bridge method,Multimeter,Megger,B
8,The repeat accuracy of an instrument can be judged from its,static error,linearity error,dynamic error,standard deviation of error,D
9,Which of the following meters has a linear scale?,Thermocouple meter,Moving iron meter,Hot wire meter,Moving coil meter,D
10,No eddy current and hysteresis losses occur in,Electrostatic instruments,PMMC instruments,Moving iron instruments,Electrodynamometer instruments,A
11,Two voltmeters have same range 0-400V and internal impedances 30000 and 20000 ohms connected in series across 600V the readings are,360V and 240V,300V each,400V and 200V,one meter out of range and other 100V,A
12,Full-scale deflection current of an ammeter is 1mA and internal resistance is 100 ohm for full deflection at 5A shunt resistance is,49.99 ohms,1/49.99 ohms,1 ohm,2 ohms,B
13,Full-scale deflection current of an ammeter is 1mA and internal resistance is 100 ohm for full deflection at 100V series resistance is,99.99 K ohms,100 K ohms,99.99 ohms,100 ohms,A
14,Why is a MISC meter not recommended for DC measurement?,Calibrated for AC and error high for DC,Does not respond to DC signals,Error high due to hysteresis effect,Error high due to eddy current effect,C
15,The EMF of Weston standard cell is measured using,Moving iron meter,Moving coil meter,Digital voltmeter,Potentiometer,D
16,A milliammeter can be used as,Voltmeter and ammeter,Wattmeter,Ohmmeter,Frequency meter,A
17,Which instrument has identical calibration for AC as well as DC values?,Hot wire type,Moving coil type,Induction type,Moving iron type,A
18,An instrument used for measurement and control should preferably have,Dead zone and dead time,Linear output and fast response,Non-linear output,Highly damped response,B
19,Current coil of wattmeter connected to CT of R phase and potential coil across Y and B phases measures,Active power in R phase,Active power of Y phase,Reactive power of R phase,Power proportional to 3 phase power if load balanced,C
20,Electro-static coupling in a transformer is acute at,Low frequencies,Power frequencies,High frequencies,High load on transformer,C
21,Which meter is suitable for measurement of 10mV at 50MHz?,Moving iron voltmeter,VTVM,Moving coil voltmeter,CRO,D
22,It can be stated that,CT operates at same flux density as PT,CT operates at higher flux density than PT,CT operates with lower flux density than PT,No generalisation possible,C
23,Thermocouple instruments do not have,High sensitivity,Absence of frequency error,Independence of ambient temperature,High degree of measuring accuracy,D
24,Some wire wound resistors have bifilar winding used to,Increase thermal stability,Reduce tolerance,Reduce inductance of winding,Double power rating,C
25,Wien bridge is useful for measuring,Very high frequency,Low frequency,Medium frequency,High frequency,D
26,A megger is usually,Moving iron type instrument,Electrostatic type instrument,Hot wire type instrument,Moving coil type instrument,D
27,A moving iron ammeter may be compensated for frequency errors by,a shunt resistance,a series inductance,shunt capacitance,series resistance,C
28,Ryall crest voltmeter is used for measurement of,AC voltage of any form,Low frequency voltage,High DC voltage,High AC voltage,D
29,Jewels are used in instruments for,Damping,Torque control,Suppressing noise,Bearing,D
30,The thermocouple instrument will measure,Current,Voltage,Flux,None of the above,D
31,A CRO can display,AC signals,DC signals,Both AC and DC signals,Time invariant signals,C
