Question_No,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Answer
1,The SI unit used to measure power is,Henry,Coulomb,Watt,Watt-hour,None,C
2,Electric pressure is another name for,Resistance,Power,Voltage,Energy,None,C
3,Materials that contain many free electrons and offer very low resistance are called,Insulators,Inductors,Semiconductors,Conductors,None,D
4,Which of the following is a good conductor of electricity?,Cast iron,Copper,Carbon,Tungsten,None,B
5,Which of the following acts as an insulating material?,Copper,Gold,Silver,Paper,None,D
6,The ability of a conductor to allow current flow is termed,Resistance,Reluctance,Conductance,Inductance,None,C
7,Conductance is defined as the reciprocal of,Resistance,Inductance,Reluctance,Capacitance,None,A
8,The resistance of a conductor is inversely proportional to,Length,Cross-sectional area,Temperature,Resistivity,None,B
9,For pure metals, resistance with an increase in temperature,Increases,Decreases,First increases then decreases,Remains constant,None,A
10,For semiconductors, resistance with increase in temperature,Decreases,Increases,First increases then decreases,Remains constant,None,A
11,The resistivity of a 200 m copper wire of 0.44 mm diameter and 21 Ω resistance is approximately,1.2×10^-8 Ωm,1.4×10^-8 Ωm,1.6×10^-8 Ωm,1.8×10^-8 Ωm,None,C
12,Equivalent resistance of 10Ω, 15Ω, and 30Ω connected in parallel is,5Ω,10Ω,15Ω,55Ω,None,A
13,An instrument used to detect small electric currents is called,Voltmeter,Rheostat,Wattmeter,Galvanometer,None,D
14,A 33Ω resistor carrying 2A current will have a voltage of,33V,66V,80V,132V,None,B
15,A bulb draws 0.3A at 240V. Its resistance is approximately,400Ω,600Ω,800Ω,1000Ω,None,C
16,If total parallel resistance is 12Ω and one branch is 18Ω, the other branch is,18Ω,36Ω,48Ω,64Ω,None,B
17,Four identical wires in parallel give 0.25Ω. In series they give,1Ω,2Ω,3Ω,4Ω,None,D
18,A 16A current divides between 8Ω and 12Ω parallel branches as,6.4A & 6.9A,6.4A & 9.6A,4.6A & 6.9A,4.6A & 9.6A,None,B
19,Drift velocity of electrons in copper is,Equal to energy propagation speed,Independent of current,Very small (few μm/s),3×10^8 m/s,None,C
20,Material with nearly zero temperature coefficient of resistance is,Manganin,Porcelain,Carbon,Copper,None,A
21,To obtain 1500Ω using 1000Ω resistors, connect,Two parallel,Two parallel plus one series,Three parallel,Three series,None,B
22,Two resistors are in series when,Same current flows sequentially,Same current value flows,Total current equals branch sum,Voltage drops equal EMF,None,A
23,Common feature of both series and parallel DC circuits is,Individual currents,Additive currents,Additive voltages,Additive power,None,D
24,Material with negative temperature coefficient is,Copper,Aluminum,Carbon,Brass,None,C
25,Ohm’s law does not apply to,Vacuum tubes,Carbon resistors,High voltage circuits,Low current circuits,None,A
26,Best conductor among given options is,Iron,Silver,Copper,Carbon,None,B
27,Ampere-second is unit of,Reluctance,Charge,Power,Energy,None,B
28,Which is NOT equivalent to watt?,Ampere×Ohm,Joule/sec,Ampere×Volt,Ampere/Volt,None,D
29,A 10Ω 10W resistor is typically,Metallic,Carbon,Wire-wound,Variable,None,C
30,Which does NOT have negative temperature coefficient?,Aluminium,Paper,Rubber,Mica,None,A
31,Varistors are,Insulators,Non-linear resistors,Carbon resistors,Zero temp coefficient resistors,None,B
32,Insulating materials are used for,Preventing short circuits,Preventing open circuits,Carrying large currents,Storing currents,None,A
33,Fuse rating is expressed in,Ampere-hour,Ampere-volt,kWh,Ampere,None,D
34,Minimum ionic charge equals,Atomic number,Charge of electron,Number of electrons,Zero,None,B
35,In series circuit with unequal resistances,Highest resistance has highest current,Lowest resistance has highest voltage,Lowest resistance has highest current,Highest resistance has highest voltage,None,D
36,Filament of electric bulb is made of,Carbon,Aluminium,Tungsten,Nickel,None,C
37,A 3Ω resistor with 2A current dissipates,2W,4W,6W,8W,None,C
38,A galvanometer becomes an ammeter when connected with,Low resistance parallel,High resistance parallel,Low resistance series,High resistance series,None,C
39,Resistance of few meters of wire in closed circuit is,Nearly zero,Low,High,Very high,None,A
40,If main line of parallel circuit opens,Current increases in lowest branch,Current increases in each branch,Current becomes zero everywhere,Zero in highest branch,None,C
41,If length of 0.2Ω wire doubles, resistance becomes,0.4Ω,0.6Ω,0.8Ω,1Ω,None,A
42,If one bulb fails in parallel circuit,Heavy current flows,Others won’t glow,All glow,Remaining bulbs glow,None,D
43,In series connection of bulbs,Current same in each,Voltage unequal,Power unequal,None,None,A
44,For R1>R2 in series, largest voltage drop across,R1,R2,Either,None,None,A
45,Energy used to move 6.28×10^18 electrons across 20V is,5J,10J,15J,20J,None,B
46,Resistance of closed switch is,Zero,50Ω,500Ω,Infinite,None,A
47,Hot resistance of bulb is higher because coefficient is,Zero,Negative,Positive,2Ω/°C,None,C
48,Heating effect in conductor is due to,Reactance,Capacitance,Impedance,Resistance,None,D
49,Insulation on conductor prevents,Leakage,Shock,Both,None,None,C
50,Insulation thickness depends on,Voltage,Current,Both,None,None,A
51,Quantity constant in series circuit is,Voltage,Current,Power,Resistance,None,B
52,Replacing 40W bulb with 100W in series heater makes heater output,Decrease,Increase,Same,Burn out,None,B
53,To increase boiling time from 10 to 15 minutes, heater element length should,Decrease,Increase,No effect,None,None,A
54,Filament bulb can operate on,DC only,AC only,Battery only,All supplies,None,D
55,Resistance of tungsten lamp with increasing voltage,Decreases,Increases,Same,None,None,B
56,Electric current produces,Thermal effect,Magnetic effect,Chemical effect,Luminous effect,All effects,E
57,Resistance decreases when,Temperature decreases,Temperature increases,Free electrons increase,None,None,C
58,If the force between two electric charges is 120 N and the distance between them is doubled, the new force will be,60 N,30 N,40 N,15 N,B
59,Electric field intensity at 4 m from a charge is 200 N/C. What will be the intensity at 2 m?,400 N/C,600 N/C,800 N/C,1200 N/C,C
60,Electric lines of force around charged particles are,Always straight,Always curved,Sometimes curved,None of these,B
61,Electric field intensity at a distance d from a long charged conductor varies as,Directly proportional to d,Inversely proportional to d,Inversely proportional to d²,None of these,B
62,The electric field due to a positive charge is directed,Away from the charge,Towards the charge,Both directions,None of these,A
63,Electric field lines and equipotential surfaces are,Parallel,Perpendicular,Inclined at any angle,None of these,B
64,The force between charged bodies exists due to the presence of,Electrons,Protons,Neutrons,Electric field,D
65,If a bakelite sheet is inserted between capacitor plates, the capacitance,Decreases,Increases,Remains unchanged,Becomes zero,B
66,A capacitor stores 0.24 C at 10 V. Its capacitance is,0.024 F,0.12 F,0.6 F,0.8 F,A
67,For better capacitor design, the dielectric material should have,Low permittivity,High permittivity,Permittivity equal to air,Slightly higher than air,B
68,The SI unit of capacitance is,Volt per coulomb,Coulomb per volt,Ohm,Henry per weber,B
69,Three capacitors of 15 µF each connected in series give total capacitance of,5 µF,30 µF,45 µF,50 µF,A
70,Three capacitors of 10 µF each connected in parallel give total capacitance of,20 µF,30 µF,40 µF,50 µF,B
71,A dielectric material must be a,Resistor,Insulator,Good conductor,Semiconductor,B
72,Electrolytic capacitors are normally used with,DC supply only,AC supply only,Both AC and DC,None of these,A
73,Capacitance of a capacitor is independent of,Plate separation,Plate area,Thickness of plates,Dielectric material,C
74,Which of the following is not a vector quantity?,Linear momentum,Angular momentum,Electric field,Electric potential,D
75,When charged capacitor plates are moved apart after disconnecting supply,Voltage across plates,Increases,Decreases,Charge decreases,Charge increases,B
76,In an AC capacitive circuit current flows because,Varying voltage causes charging and discharging currents,High peak voltage,Only charging current flows,Only discharging current flows,A
77,If dielectric produces electric field 100 times that of air, dielectric constant is,50,100,150,200,B
78,Which statement about capacitors is correct?,Air capacitors show polarity,Electrolytic capacitors require correct polarity,Ceramic capacitors are polarized,Mica capacitors only 1–10 pF,B
79,Dissipation factor of a good dielectric is approximately,0.0002,0.002,0.02,0.2,A
80,Statement relating electric flux through closed surface to enclosed charge represents,Coulomb’s law,Gauss’s law,Maxwell’s first law,Maxwell’s second law,B
81,Three equal capacitors produce equivalent capacitance of 2/3 C when connected as,All in series,All in parallel,Two in parallel and third in series,Two in series and third in parallel,C
82,Capacitance remains unaffected by change in,Plate spacing,Plate area,Dielectric type,Plate thickness,D
83,During capacitor discharge, current,Increases linearly,Increases exponentially,Decreases exponentially,Decreases uniformly,C
84,Correct expression for electric field strength is,E = D/ε,E = D²/t,E = jtD,E = nD²,A
85,Electric charge in a capacitor is stored in,Metal plates,Dielectric,Both,None,B
86,Material with highest dielectric constant among given options is,Glass,Vacuum,Ceramic,Oil,C
87,Capacitor with least variation in value is,Paper capacitor,Ceramic capacitor,Silvered mica capacitor,None,C
88,Which statement is incorrect?,Ceramic capacitors have high leakage resistance,Stored energy decreases with lower capacitance,Stored energy increases with voltage,Cables have distributed capacitance,B
89,Capacitor having shorter shelf life is,Mica capacitor,Electrolytic capacitor,Ceramic capacitor,Paper capacitor,B
90,Sparking between electrical contacts can be reduced by connecting,Capacitor in parallel,Capacitor in series,Resistance in line,None,A
91,Equivalent series resistance of a lossy capacitor is,Small,Very small,Large,Zero,C
92,Power dissipated in a pure capacitor is,Zero,Proportional to voltage,Proportional to capacitance,Both proportional,A
93,In capacitive circuit, capacitor charges when,Voltage remains constant,Voltage increases,Voltage decreases,None,B
94,Introducing dielectric in parallel plate capacitor causes potential difference to,Remain unchanged,Decrease,Increase,Become zero,B
95,Capacitance increases with,Increase in plate area and decrease in separation,Increase in area and separation,Decrease in area and voltage,Decrease in area and separation,A
96,A capacitor consists of,Two insulators and conductor,Two conductors separated by insulator,Two insulators only,Two conductors only,B
97,A gang condenser is a,Polarized capacitor,Variable capacitor,Ceramic capacitor,None,B
98,Paper capacitors are generally constructed as,Tubes,Rolled foil,Disc type,Meshed plates,B
99,Air capacitors are commonly available in range,10–400 pF,1–20 pF,100–900 pF,20–100 pF,A
100,The SI unit of capacitance is,Henry,Ohm,Farad,Farad per metre,C
101,A capacitor charged to 200 V stores 2000 µC charge. Its capacitance is,10 F,10 µF,100 nF,1000 µF,B
102,A sine wave has a frequency of 50 Hz. Its angular frequency is,100π rad/s,50π rad/s,25π rad/s,5π rad/s,A
103,A capacitor has reactance of 20 ohms at 50 Hz. If frequency becomes 100 Hz, the reactance will be,2.5 ohms,5 ohms,10 ohms,15 ohms,C
104,The time period of a wave is defined as,Same as frequency,Time taken to complete one cycle,Measured in amperes,None of these,B
105,Form factor is defined as the ratio of,Peak value to RMS value,RMS value to average value,Average value to RMS value,None of these,B
106,The time period of a sine wave corresponding to a frequency of 50 Hz is associated with frequency,20 Hz,30 Hz,40 Hz,50 Hz,D
107,A heater rated 230 V AC refers to,Average voltage,RMS voltage,Peak voltage,None of these,B
108,If two sinusoids of same frequency but different amplitudes and phase angles are subtracted, the result is,A sinusoid of same frequency,A sinusoid of half frequency,A sinusoid of double frequency,Not a sinusoid,A
109,A sine wave has peak value 200 V. Its average value is approximately,127.4 V,141.4 V,282.8 V,200 V,A
110,If two sine waves have a phase difference of π radians, then,They reach minimum together,They reach maximum together,One reaches maximum when other reaches minimum,None of these,C
111,The domestic supply voltage of 220 V represents,Mean value,RMS value,Peak value,Average value,B
112,Two waves are said to be in opposite phase when phase angle between them is,360°,180°,90°,0°,B
