questionid,question,optiona,optionb,optionc,optiond,answer
Question_No,Question,Option_A,Option_B,Option_C,Option_D,Answer
1,Free air refers to air under which conditions,Atmospheric conditions at any location,20°C and 1 kg/cm² with 36% RH,0°C and standard atmospheric conditions,15°C and 1 kg/cm²,A
2,Standard air is defined as air at,Atmospheric conditions at any location,20°C and 1 kg/cm² with 36% RH,0°C and standard atmospheric conditions,15°C and 1 kg/cm²,B
3,The approximate weight of 1 m³ of air at atmospheric conditions is,0.5 kg,1.0 kg,1.3 kg,2.2 kg,C
4,Adiabatic compression is characterized by,Temperature remains constant,No heat enters or leaves the cylinder,Temperature rise is linear,Work done is maximum,B
5,A compressor with a capacity of 5 m³/min refers to,Standard air,Free air,Compressed air,Compressed air at delivery pressure,B
6,Overall isothermal efficiency is the ratio of,Isothermal HP to BHP,Isothermal HP to adiabatic HP,Power required to drive over isothermal HP,Isothermal work to actual work,A
7,Which method of air compression is most efficient,Isothermal,Adiabatic,Isentropic,Isochoric,A
8,Maximum work during compression is achieved when,Isothermal,Adiabatic,Polytropic,Any of the above,B
9,The suction condition of a compressor is,Atmospheric,Slightly above atmospheric,Slightly below atmospheric,Pressure below and temperature above atmospheric,C
10,To achieve isothermal efficiency, a compressor should run at,Very high speed,Very slow speed,Average speed,Zero speed,B
11,When the suction temperature decreases, the capacity,Increases,Decreases,Remains unaffected,Depends on capacity,A
12,High-speed isothermal efficiency is approached by,Multistage compression,Cold water spray,Both A and B,Insulating cylinder,C
13,Compression efficiency is measured relative to,Ideal compression,Adiabatic compression,Both isothermal and adiabatic,Isentropic compression,D
14,Aircraft usually use which type of compressor,Radial flow,Axial flow,Centrifugal,Combination,B
15,Intercooling in compressors,Reduces power requirement,Cools delivered air,Standard for large compressors,Enables two-stage compression,B
16,An ideal compressor cycle without clearance consists of,One adiabatic, two isobaric, one constant volume stage,Two adiabatic, two isobaric stages,Two adiabatic, one isobaric, one constant volume stage,One adiabatic, one isobaric, two constant volume stages,A
17,An ideal compressor cycle with clearance includes,Two adiabatic, two isobaric stages,One adiabatic, two isobaric, one constant volume stage,Two adiabatic, one isobaric, one constant volume stage,One adiabatic, one isobaric, two constant volume stages,B
18,The volume at 327°C if it is 1.5 m³ at 27°C,3 m³,1.5 m³,18 m³,6 m³,A
19,Work per unit mass is minimum when n equals,1,1.2,1.3,1.4,A
20,Why is isothermal compression impractical,Requires very large cylinder,Pressure does not rise,Impossible in practice,Needs very slow speed,D
21,The ratio of indicated HP to brake HP represents,Mechanical efficiency,Volumetric efficiency,Isothermal efficiency,Adiabatic efficiency,A
22,Work per cycle to swept volume ratio is known as,Compression index,Compression ratio,Compressor efficiency,Mean effective pressure,D
23,Cylinder clearance should generally be,Large,Small,50% of swept volume,100% of swept volume,B
24,Compression ratio refers to,Absolute discharge to intake pressure,Gauge discharge to intake pressure,Pressures at same temperature,Stroke to clearance volume,B
25,Clearance volume is necessary to,Accommodate valves,Provide cushioning,Achieve high volumetric efficiency,Avoid piston hitting head,D
26,Net work changes with increase in clearance volume,Increases,Decreases,Remains same,Depends on capacity,C
27,The ratio of indicated HP to shaft HP is,Compressor efficiency,Isothermal efficiency,Volumetric efficiency,Mechanical efficiency,D
28,Volumetric efficiency is,Stroke to clearance ratio,Actual delivered volume to piston displacement,Reciprocal of compression ratio,Performance index,B
29,Typical volumetric efficiency falls in the range,20-30%,40-50%,60-70%,70-90%,D
30,Volumetric efficiency with clearance compared to compression ratio,Increases,Decreases,Independent,Depends on capacity,B
31,Volumetric efficiency without clearance compared to compression ratio,Increases,Decreases,Independent,Depends on capacity,C
32,Clearance is kept minimum because,To maximize compression,Affects volumetric efficiency,To minimize work,Isothermal compression,B
33,Euler’s equation applies to,Centrifugal compressors,Axial compressors,Pumps,All of the above,D
34,Preferred intake location for compressors,AC room at 20°C,Outside at 1°C,Coal yard,Near cooling tower,D
35,Motive power in mining industry usually is,AC motor,Compressed air,Petrol engine,Diesel engine,B
36,Which statement about air receivers is false,Dampen pulsations,Act as reservoir for demand,Increase efficiency,Knock out oil and moisture,C
37,Air receiver should be placed,Outside in sun,Outside in shade,Outside in rain,Enclosed room,D
38,False statement about multistage compression,Low power per unit air,High volumetric efficiency,Best around 7:1,Moisture condenses in intercooler,B
39,Isothermal compression in multistage is achieved by,Intercooler,Constant cooling cylinder,Very slow speed,Insulating cylinder,C
40,Reciprocating compressors are best suited for,Large air high pressure,Small air high pressure,Small air low pressure,Large air low pressure,A
41,Rotary compressors are best suited for,Large air high pressure,Small air high pressure,Small air low pressure,Large air low pressure,B
42,Highest capacity occurs at which intake temperature,Lowest,Highest,Any,Atmospheric,D
43,Aftercoolers are used to,Cool air,Reduce delivery temperature,Cause moisture drop,Reduce volume,C
44,Main compressed air line should be,Gradually rising,Gradually dropping,Vertical,Horizontal,B
45,Separators are located,After intercooler,Before intercooler,After receiver,Between aftercooler and receiver,D
46,Actual indicator diagram area compared to ideal,Less,More,Same,Depends,B
47,Compressor control methods include,Throttle,Clearance,Blow off,Any of the above,D
48,Compressor efficiency is,Isothermal HP / Indicated HP,Isothermal HP / Shaft HP,Total output/Input,Compression work / Motor input,A
49,Branch connections are taken from,Top of main,Bottom,Left,Right,A
50,Thrust on centrifugal rotor is caused by,Radial component,Axial component,Tangential component,Resultant,B
51,Performance at high altitude is,SAME,Higher,Lower,Depends,C
52,Power drawn at high altitude is,More,Less,Same,Depends,B
53,Peak load control method is,Start-stop,Constant speed unloader,Relief valve,Variable speed,B
54,Centrifugal compressors convert,Pressure to kinetic energy,Kinetic to pressure,Centripetal action,Generate pressure,B
