1,Which forces are related by Euler’s dimensionless number?,Inertial force and gravitational force,Viscous force and inertial force,Viscous force and buoyant force,Pressure force and inertial force,D
2,A floating body slightly disturbed in a liquid oscillates about which point?,Centre of gravity,Centre of pressure,Centre of buoyancy,Metacentre,D
3,In the diverging section of a venturimeter the fluid pressure generally,Remains unchanged,Increases,Decreases,Depends on liquid mass,C
4,Flow is termed supersonic when the Mach number lies between which range?,1 to 2.5,2.5 to 4,4 to 6,1 to 6,D
5,A body placed in a liquid will sink when,Weight equals buoyant force,Weight is less than buoyant force,Weight exceeds buoyant force,None of these,C
6,The resistance offered by a liquid to relative motion between layers is called,Surface tension,Coefficient of viscosity,Viscosity,Osmosis,C
7,A weir is classified as narrow-crested when the crest width is,Equal to half the head,Less than half the head,Greater than half the head,None of these,B
8,For a submerged surface the centre of pressure is located,At the centre of gravity,Above the centre of gravity,Below the centre of gravity,Depends on density only,C
9,For a vertically submerged plane surface the centre of pressure distance from free surface is given by which expression?,(bd²/12)+x̅,(d²/12x̅)+x̅,b²/12+x̅,d²/12+x̅,B
10,The torque needed to overcome viscous resistance in a collar bearing is proportional to which term?,(R1−R2),(R1²−R2²),(R1³−R2³),(R1⁴−R2⁴),D
11,Steady flow exists when,Velocity is same everywhere,Velocity at a point does not change with time,Velocity is identical at all locations,Streamlines remain parallel,B
12,A flow is called supersonic when,Velocity is extremely high,Discharge is hard to measure,Mach number lies between 1 and 6,None of these,C
13,In a forced vortex motion the fluid velocity is,Maximum everywhere,Minimum everywhere,Zero everywhere,Finite and non-zero,D
14,Depth of centre of pressure for a vertical plane surface is expressed as which relation?,(IG/Ax̅)−x̅,(IG/x̅)−Ax̅,(Ax̅/IG)+x̅,(IG/Ax̅)+x̅,D
15,Mach number is mainly important in which applications?,Supersonic motion like jets and projectiles,Closed conduit flows,Ship motion problems,All cases,A
16,A fluid obeying Newton’s law of viscosity is known as,Real fluid,Ideal fluid,Newtonian fluid,Non-Newtonian fluid,C
17,Flow through a pipeline occurs only if pressure difference exceeds,Only frictional force,Viscous resistance,Surface resistance,All of these,D
18,For a triangular notch the relation between discharge error and head error is,dQ/Q=3/2(dH/H),dQ/Q=2(dH/H),dQ/Q=5/2(dH/H),dQ/Q=3(dH/H),A
19,For dynamic similarity between model and prototype which ratios must be equal?,Inertia to viscous force ratio,Inertia to gravity force ratio,Inertia to surface tension ratio,All relevant force ratios,D
20,The coefficient of velocity of a sharp-edged orifice generally,Decreases with head,Increases with head,Remains constant,None of these,B
21,If cohesion exceeds adhesion in a liquid within a glass tube, the liquid level will be,Higher than outside level,Same as outside level,Lower than outside level,Uncertain,C
22,Euler number represents the ratio of inertia force to which force?,Pressure force,Elastic force,Surface tension force,Viscous force,A
23,A one-dimensional flow means,Uniform flow,Steady uniform flow,Flow in straight line only,No velocity component transverse to flow,D
24,According to Manning’s equation discharge in open channel is proportional to which expression?,A×M×m1/2×i2/3,A×M×m2/3×i1/2,A1/2×M2/3×m×i,A2/3×M1/3×m×i,B
25,The dimensional formula of surface tension is,ML⁰T⁻²,ML⁰T,MLT²,ML²T²,A
26,An opening in a tank where liquid surface remains below the top edge is called,Weir,Notch,Orifice,None of these,B
27,Resistance offered by fluid to shear deformation is called,Surface tension,Adhesion,Cohesion,Viscosity,D
28,Coefficient of velocity is defined as ratio of,Actual jet velocity to theoretical velocity,Jet area to orifice area,Actual discharge to theoretical discharge,None of these,A
29,The bulk modulus of elasticity of the liquid is,400 kg/cm²,4000 kg/cm²,40×10⁵ kg/cm²,40×10⁶ kg/cm²,B
30,A liquid of mass 2 tonnes occupying 2.5 m³ has density,200 kg/m³,400 kg/m³,600 kg/m³,800 kg/m³,D
31,A fluid at rest cannot resist,Tensile stress,Compressive stress,Shear stress,Bending stress,C
32,A plate parallel to fluid flow experiences pressure that is,Less than perpendicular case,Greater than perpendicular case,Equal to perpendicular case,None of these,A
33,A body of mass 10 kg shows weight 9.81 kgf; value of g is,10 m/s²,9.81 m/s²,9.75 m/s²,9 m/s²,A
34,Flow is termed hypersonic when Mach number is,Less than 1,Equal to 1,Between 1 and 6,Greater than 6,D
35,Which statement about liquids is correct?,Cannot be compressed,Have definite volume,Unaffected by pressure and temperature,None of these,D
36,When a liquid rotates in a cylindrical vessel its free surface forms,A triangle,A paraboloid,An ellipse,None of these,B
37,A fluid is defined as a substance that,Cannot experience shear force,Always expands fully,Has constant shear stress,Cannot remain at rest under shear force,D
38,Force exerted by moving fluid proportional to rate of momentum change is known as,Newton’s law of motion,Newton’s law of cooling,Newton’s law of viscosity,Newton’s law of resistance,D
39,Property enabling fluid to resist tensile stress is called,Compressibility,Surface tension,Cohesion,Adhesion,C
40,In laminar flow pressure head loss varies with,Velocity,Velocity squared,Velocity cubed,Velocity to fourth power,A
41,Surface tension of mercury compared with water is,Higher,Lower,Same,Depends on tube size,A
42,An air vessel in a siphon is provided to,Prevent flow interruption,Increase discharge,Increase velocity,Maintain pressure difference,A
43,The unit of dynamic viscosity is,m²/s,kg-s/m,N-s/m²,N-s/m,B
44,Weber number represents ratio of,Inertia to elastic force,Gravity to surface tension force,Viscous to pressure force,Inertia to surface tension force,D
45,Which statement is incorrect regarding alcohol in manometers?,Low vapour pressure,Good meniscus formation,Low density,Provides longer column length,A
46,When a tank accelerates horizontally, the liquid free surface,Remains horizontal,Becomes curved,Rises at rear and falls at front,Rises at front and falls at rear,C
47,A pressure head of 25 m of water equals,25 kN/m²,245 kN/m²,2500 kN/m²,2.5 kN/m²,B
48,Water hammer in pipes occurs when,Leakage increases,Pipe bursts suddenly,Valve closes suddenly stopping flow,Valve closes gradually,C
49,The upward force exerted by fluid on an immersed body is called,Up-thrust,Buoyancy,Centre of pressure,All of these,B
50,A weir is called submerged when,Water level is below crest,Crest is narrow,Crest has ogee shape,Downstream water level is above crest,D
51,If liquid surface is convex, cohesion pressure is,Cannot be considered,Reduced,Increased,Zero,C
52,Which irrigation method is suitable for uneven or rolling terrain?,Border flooding,Check flooding,Furrow irrigation,Free flooding,A
53,Water is classified as high sodium water when Sodium Absorption Ratio lies between which values?,0 to 10,10 to 18,18 to 26,26 to 34,C
54,The recommended depth of kor irrigation for rice crop is,135 mm,165 mm,190 mm,215 mm,C
55,If concentrations of Na++, Ca++ and Mg++ are 20, 3 and 1 meq/L respectively, the irrigation water is classified as,Low sodium water,Medium sodium water,High sodium water,Very high sodium water,B
56,Duty of water is maximum at which location?,Head of watercourse,On the field,Head of main canal,Same everywhere,B
57,Outlet discharge factor refers to duty measured at the head of which channel?,Main canal,Branch canal,Watercourse,Distributory,C
58,For rice with kor depth 190 mm and kor period 14 days, the outlet factor is approximately,637 ha/m³/s,837 ha/m³/s,972 ha/m³/s,1172 ha/m³/s,A
59,When designing a canal supplying rabi, kharif and sugarcane crops, capacity is based on the greater requirement of,Rabi or kharif,Rabi and kharif or sugarcane,Rabi and sugarcane or kharif and sugarcane,Rabi or kharif or sugarcane,C
60,The ratio of water stored in crop root zone to water supplied to field is known as,Water conveyance efficiency,Water application efficiency,Water use efficiency,None of these,B
61,Water available for plant uptake in soil mainly exists as,Gravitational water,Capillary water,Hygroscopic water,Chemically combined water,B
62,The quantity of irrigation water needed to satisfy total evapotranspiration demand of a crop is called,Effective rainfall,Consumptive use,Consumptive irrigation requirement,Net irrigation requirement,C
63,With increasing irrigation supply, crop yield generally,Continuously increases,Continuously decreases,Increases and then remains constant,Increases up to a limit and then decreases,D
64,A hydrograph represents the relationship between,Runoff and time,Surface runoff and time,Groundwater flow and time,Rainfall and time,A
65,The infiltration rate is always,Greater than infiltration capacity,Less than infiltration capacity,Equal to or less than infiltration capacity,Equal to or greater than infiltration capacity,C
66,Water depth needed to raise soil moisture to field capacity is called,Hygroscopic water,Equivalent moisture,Soil moisture deficiency,Pellicular water,C
67,Infiltration capacity,Remains constant,Varies with time,Varies with location,Varies with both time and location,D
68,Infiltration refers to,Movement of water within soil,Entry of water through soil surface,Both movement and entry,None of these,A
69,If rainfall intensity exceeds infiltration capacity, infiltration rate becomes,Equal to rainfall rate,Equal to infiltration capacity,Greater than rainfall rate,Greater than infiltration capacity,B
70,Cyclonic rainfall occurs due to lifting of air masses caused by,Pressure differences,Temperature differences,Topographical barriers,All of these,A
71,Which of the following is a non-recording rain gauge?,Tipping bucket type,Simon’s rain gauge,Weighing type rain gauge,Floating type rain gauge,B
72,A rain gauge should ideally be installed,Near buildings,Under trees,In open ground,Inside enclosed areas,C
73,Which rain gauge type is suitable for remote or hilly inaccessible regions?,Tipping bucket type,Weighing type,Floating type,Simon’s rain gauge,A
74,Evaporation rate increases when which conditions occur?,Increase in vapour pressure difference and decrease in wind velocity,Increase in vapour pressure difference and decrease in dissolved solids,Decrease in wind velocity and dissolved solids,All of the above,B
75,An index of wetness equal to 70% indicates,Rainfall excess of 30%,Rainfall deficiency of 30%,Rainfall deficiency of 70%,None of these,B
76,Under identical conditions which water surface shape gives maximum evaporation?,Flat surface,Convex surface,Concave surface,Independent of shape,B
77,Assertion: More rain gauges are required in hilly areas. Reason: Rainfall variation is steep. Choose correct option,Both true and reason explains assertion,Both true but reason not correct explanation,Assertion true but reason false,Assertion false but reason true,A
78,When transpiring surface is submerged in water, potential evapotranspiration is,Much higher than evapotranspiration,Much lower than evapotranspiration,Equal to evapotranspiration,Equal to or less than evapotranspiration,A
79,In MKS system the unit of runoff is,Cubic metre per second,Metre per second,Cubic metre,Square metre,A
80,Runoff increases with,Increase in rainfall intensity,Increase in infiltration capacity,Increase in soil permeability,All of these,A
81,If areas between isohyets 45–55 cm and 55–65 cm are 100 km² and 150 km² respectively, average annual rainfall is,50 cm,55 cm,56 cm,60 cm,C
82,A current meter is used for measuring,Flow velocity,Depth of flow,Discharge,None of these,A
83,If rainfall occurs from 2 PM to 3 PM and runoff begins at outlet at 3 PM, time of concentration is,15 minutes,20 minutes,30 minutes,60 minutes,D
84,Given rainfall of 100, 80, 60, 40 and 20 mm with infiltration index 50 mm/day, total runoff equals,50 mm,60 mm,90 mm,140 mm,C
85,Normal rainfall at stations X, A, B and C are 700, 1000, 900 and 800 mm respectively. If storm rainfall at A, B and C is 100, 90 and 80 mm, rainfall at X is,70 mm,80 mm,90 mm,105 mm,A
86,The most suitable storm duration for unit hydrograph derivation is,1 hour,One-fourth of basin lag,Half of basin lag,Equal to basin lag,B
87,Unit hydrograph is obtained by dividing direct runoff hydrograph ordinates by,Direct runoff volume,Storm duration,Total rainfall,None of these,A
88,A unit hydrograph of a given duration can be used to estimate hydrograph for storms of,Same duration only,Same and shorter duration,Same and longer duration,Any duration,D
89,PERT network technique is primarily applied for which type of work?,Small projects,Large and complicated projects,Research and development work,Activities with fixed duration,C
